iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
1,EI,2.307350616455078,2.307350616455078,24,37,5,3,3,0.3,200,0.01653913158958423
2,EI,1.4099846649169923,1.4099846649169923,44,17,3,5,2,0.6,440,0.0005230132634432739
3,EI,2.3180542755126954,2.3180542755126954,14,47,5,5,2,0.5,80,0.0930063717558436
4,EI,1.9222692108154298,1.9222692108154298,34,27,3,3,4,0.2,320,0.0029411197165681983
5,EI,1.708071746826172,1.708071746826172,39,12,5,3,3,0.3,260,0.0012402599006416722
6,EI,2.293819580078125,2.293819580078125,19,32,3,5,1,0.6,500,0.039220461766018094
7,EI,4.457646484375,4.457646484375,9,42,3,5,3,0.1,140,0.006974493961072886
8,EI,1.523630142211914,1.523630142211914,29,22,5,3,2,0.4,380,0.00022055286444080057
9,EI,2.3043168640136718,2.3043168640136718,32,10,3,3,2,0.5,230,0.010740208256497874
10,EI,1.5665198516845704,1.5665198516845704,12,30,5,5,3,0.2,470,0.0003396352063507921
11,EI,1.329569435119629,1.329569435119629,22,40,3,3,4,0.6,110,0.001909909120206021
12,EI,2.309249038696289,2.309249038696289,42,20,5,5,2,0.3,350,0.06039662943779338
13,EI,2.2767337799072265,2.2767337799072265,37,45,5,5,1,0.2,290,0.00014322297895937405
14,EI,1.4398411178588868,1.4398411178588868,17,25,3,3,3,0.5,50,0.004529108267859944
15,EI,2.3001764678955077,2.3001764678955077,47,15,3,3,2,0.7,170,0.025469047452789245
16,EI,1.5322423553466797,1.5322423553466797,27,35,5,5,4,0.4,410,0.0008054019978572388
17,EI,2.304369125366211,2.304369125366211,28,16,5,5,4,0.6,455,0.005620341472120218
18,EI,1.4847578048706054,1.4847578048706054,8,36,3,3,2,0.3,215,0.00017773080279803627
19,EI,2.517075958251953,2.517075958251953,18,46,3,3,2,0.4,335,0.0009994537517259232
20,EI,2.2923234558105468,2.2923234558105468,38,26,5,5,3,0.1,95,0.03160550271454357
21,EI,1.5918376922607422,1.5918376922607422,43,41,3,5,2,0.2,35,0.00042146615244140017
22,EI,2.3029940032958987,2.3029940032958987,23,21,5,3,3,0.5,275,0.013327929983825603
23,EI,2.313441390991211,2.313441390991211,13,11,5,3,1,0.3,395,0.0749484580914867
24,EI,1.3595959091186522,1.3595959091186522,33,31,3,5,3,0.6,155,0.002370078346867746
25,EI,2.2896146392822265,2.2896146392822265,31,43,3,3,3,0.6,485,0.04867015199957093
26,EI,1.5411510467529297,1.5411510467529297,8,40,3,3,4,0.5,32,0.0012053145717219652
27,EI,2.3010992431640624,2.3010992431640624,21,31,5,3,3,0.4,32,0.03111243133344107
28,EI,1.5845640563964845,1.5845640563964845,48,8,3,5,1,0.2,512,0.0001
29,EI,1.5927807998657226,1.5927807998657226,12,12,5,3,2,0.1,512,0.0001
30,EI,2.301298828125,2.301298828125,48,8,3,5,1,0.6,32,0.003374588636303019
31,EI,1.530319709777832,1.530319709777832,48,35,3,3,4,0.6,32,0.003888928531061053
32,EI,1.5841833877563476,1.5841833877563476,8,8,5,5,4,0.2,512,0.0001
33,EI,1.4751022720336915,1.4751022720336915,38,48,5,3,4,0.3,114,0.0001
34,EI,1.473244972229004,1.473244972229004,42,48,5,3,4,0.3,183,0.0001
35,EI,1.5299623107910156,1.5299623107910156,48,46,3,5,3,0.5,32,0.0001
36,EI,1.5362800216674806,1.5362800216674806,8,48,3,3,3,0.6,32,0.0005580287030695548
37,EI,1.445573272705078,1.445573272705078,48,48,5,3,3,0.3,512,0.0001
38,EI,1.4740411758422851,1.4740411758422851,40,19,5,5,3,0.4,512,0.0001
39,EI,1.4555295944213866,1.4555295944213866,48,20,5,3,4,0.6,512,0.0001
40,EI,1.5124922943115235,1.5124922943115235,48,8,5,3,3,0.7,512,0.0002366363141314648
41,EI,1.4004382705688476,1.4004382705688476,48,8,3,3,2,0.6,512,0.0003566510375419302
42,EI,1.3952632141113281,1.3952632141113281,32,45,3,5,4,0.1,57,0.00023800926408471893
43,EI,1.7410713958740234,1.7410713958740234,9,17,5,5,2,0.1,246,0.0003137066332299707
44,EI,1.5325351715087892,1.5325351715087892,31,8,5,3,3,0.3,32,0.002861843202080449
45,EI,1.4173353958129882,1.4173353958129882,14,37,3,3,4,0.1,433,0.0001635845152959013
46,EI,1.4646158981323243,1.4646158981323243,37,34,3,5,4,0.3,32,0.002707587298847991
47,EI,1.6635525512695313,1.6635525512695313,34,42,3,3,3,0.3,512,0.00042424380899315175
48,EI,1.4938924789428711,1.4938924789428711,31,48,5,3,3,0.5,199,0.003292979257534305
49,EI,1.422512969970703,1.422512969970703,48,48,3,3,3,0.6,462,0.003159126437477152
50,EI,1.723313980102539,1.723313980102539,13,8,3,3,2,0.3,317,0.0001
51,EI,1.6092803573608399,1.6092803573608399,47,45,3,3,4,0.1,69,0.0006213704108702711
52,EI,1.5413920211791992,1.5413920211791992,8,8,3,5,1,0.6,512,0.00040419942481379574
53,EI,1.341677703857422,1.341677703857422,46,14,5,5,4,0.5,289,0.0006487676837261848
54,EI,1.4075435256958009,1.4075435256958009,21,31,5,3,4,0.6,512,0.00015274701121383876
55,EI,1.4902667617797851,1.4902667617797851,24,21,5,3,3,0.1,512,0.0001513845935992873
56,EI,1.2868315505981445,1.2868315505981445,48,13,3,3,4,0.5,512,0.0007041162957995361
57,EI,1.8408167266845703,1.8408167266845703,48,18,3,5,4,0.2,512,0.0006282306408724097
58,EI,1.4315342712402344,1.4315342712402344,17,14,5,5,4,0.1,495,0.00014334017213002602
59,EI,2.3088392639160156,2.3088392639160156,44,38,3,3,4,0.1,259,0.1
60,EI,1.2889766693115234,1.2889766693115234,48,8,3,5,4,0.6,512,0.0006942334532765755
61,EI,1.5641600036621093,1.5641600036621093,48,8,5,3,4,0.1,512,0.00020527896682694414
62,EI,1.4424163055419923,1.4424163055419923,23,29,3,3,4,0.1,512,0.00012161819554743363
63,EI,2.3161552429199217,2.3161552429199217,31,48,5,3,1,0.2,183,0.1
64,EI,1.4982052612304688,1.4982052612304688,8,48,3,5,4,0.1,32,0.00035679448731575075
65,EI,4.030972290039062,4.030972290039062,24,48,3,5,1,0.1,79,0.0008961357828475332
66,EI,1.6907696533203125,1.6907696533203125,10,48,3,5,1,0.1,116,0.00016913510200254552
67,EI,1.3325703048706055,1.3325703048706055,23,8,3,3,4,0.5,321,0.0018709252388617549
68,EI,2.324761428833008,2.324761428833008,11,33,5,5,1,0.1,324,0.1
69,EI,1.4581363677978516,1.4581363677978516,48,8,5,3,4,0.2,512,0.00019389317219876254
70,EI,1.5561289978027344,1.5561289978027344,48,8,5,3,3,0.6,512,0.00014932534075295923
71,EI,1.5117336654663085,1.5117336654663085,48,48,3,5,3,0.7,42,0.0019231224093400263
72,EI,1.5464523696899415,1.5464523696899415,27,8,3,3,4,0.6,512,0.00022226821668235705
73,EI,2.3006929779052734,2.3006929779052734,21,22,5,3,4,0.2,32,0.1
74,EI,1.5490695190429689,1.5490695190429689,48,8,3,5,4,0.7,512,0.0007154106107387803
75,EI,1.4832971954345704,1.4832971954345704,11,11,3,5,2,0.6,512,0.0002557736251200759
76,EI,1.5906780242919922,1.5906780242919922,48,8,5,5,4,0.7,512,0.00013481886596664907
77,EI,1.766043357849121,1.766043357849121,38,34,5,5,2,0.5,512,0.00041484315295073706
78,EI,1.5373320007324218,1.5373320007324218,36,34,3,3,3,0.5,384,0.0025231476549709827
79,EI,1.3890968704223632,1.3890968704223632,37,36,3,3,4,0.5,32,0.002435220311834466
80,EI,1.3883839797973634,1.3883839797973634,42,36,3,3,4,0.5,85,0.002455672122112565
81,EI,1.2667432403564454,1.2667432403564454,17,36,3,3,4,0.5,115,0.0024586582072771935
82,EI,1.5725057983398438,1.5725057983398438,12,8,3,3,3,0.5,32,0.00044799763970150645
83,EI,1.5406024551391602,1.5406024551391602,8,8,3,3,4,0.5,91,0.0028066067569448203
84,EI,1.4755524826049804,1.4755524826049804,8,40,3,3,4,0.5,32,0.002604193293348576
85,EI,1.4191985321044922,1.4191985321044922,48,36,3,5,2,0.1,32,0.0001
86,EI,1.2956746292114258,1.2956746292114258,48,48,5,5,4,0.4,448,0.00025004948831158487
