iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes,lr
1,EI,2.307349624633789,2.307349624633789,24,37,5,3,3,0.3,200,0.01653913158958423
2,EI,1.4099846649169923,1.4099846649169923,44,17,3,5,2,0.6,440,0.0005230132634432739
3,EI,2.3180542755126954,2.3180542755126954,14,47,5,5,2,0.5,80,0.0930063717558436
4,EI,1.9222692108154298,1.9222692108154298,34,27,3,3,4,0.2,320,0.0029411197165681983
5,EI,1.623028678894043,1.623028678894043,39,12,5,3,3,0.3,260,0.0012402599006416722
6,EI,2.293819580078125,2.293819580078125,19,32,3,5,1,0.6,500,0.039220461766018094
7,EI,4.457646484375,4.457646484375,9,42,3,5,3,0.1,140,0.006974493961072886
8,EI,1.552794761657715,1.552794761657715,29,22,5,3,2,0.4,380,0.00022055286444080057
9,EI,2.3043168640136718,2.3043168640136718,32,10,3,3,2,0.5,230,0.010740208256497874
10,EI,1.5609517669677735,1.5609517669677735,12,30,5,5,3,0.2,470,0.0003396352063507921
11,EI,1.2757050323486328,1.2757050323486328,22,40,3,3,4,0.6,110,0.001909909120206021
12,EI,2.309249038696289,2.309249038696289,42,20,5,5,2,0.3,350,0.06039662943779338
13,EI,2.2704899597167967,2.2704899597167967,37,45,5,5,1,0.2,290,0.00014322297895937405
14,EI,1.4398411178588868,1.4398411178588868,17,25,3,3,3,0.5,50,0.004529108267859944
15,EI,2.3001764678955077,2.3001764678955077,47,15,3,3,2,0.7,170,0.025469047452789245
16,EI,1.848900146484375,1.848900146484375,27,35,5,5,4,0.4,410,0.0008054019978572388
17,EI,2.304369125366211,2.304369125366211,28,16,5,5,4,0.6,455,0.005620341472120218
18,EI,1.4828599166870118,1.4828599166870118,8,36,3,3,2,0.3,215,0.00017773080279803627
19,EI,2.517075958251953,2.517075958251953,18,46,3,3,2,0.4,335,0.0009994537517259232
20,EI,2.2923237609863283,2.2923237609863283,38,26,5,5,3,0.1,95,0.03160550271454357
21,EI,1.5918376922607422,1.5918376922607422,43,41,3,5,2,0.2,35,0.00042146615244140017
22,EI,2.3029940032958987,2.3029940032958987,23,21,5,3,3,0.5,275,0.013327929983825603
23,EI,2.3134413146972657,2.3134413146972657,13,11,5,3,1,0.3,395,0.0749484580914867
24,EI,1.3595959091186522,1.3595959091186522,33,31,3,5,3,0.6,155,0.002370078346867746
25,EI,2.2896146392822265,2.2896146392822265,31,43,3,3,3,0.6,485,0.04867015199957093
26,EI,3.2487386322021483,3.2487386322021483,11,23,5,5,1,0.3,245,0.001539085343852427
27,EI,1.3994301605224608,1.3994301605224608,21,13,3,5,3,0.4,365,0.0002736923777265446
28,EI,4.265784149169922,4.265784149169922,41,33,5,3,2,0.1,125,0.008654912918430178
29,EI,1.8683361053466796,1.8683361053466796,36,8,3,3,4,0.7,65,0.0006490269079807456
30,EI,2.3049530029296874,2.3049530029296874,16,28,5,5,2,0.4,305,0.020524032919556682
31,EI,3.2980218505859376,3.2980218505859376,46,38,5,3,3,0.2,425,0.0036497465151808725
32,EI,1.5214875030517578,1.5214875030517578,26,18,3,5,1,0.5,185,0.00011541511870233865
33,EI,3.6335779571533204,3.6335779571533204,26,48,5,5,2,0.1,328,0.0017145008413527157
34,EI,2.3067852783203127,2.3067852783203127,46,28,3,3,4,0.4,88,0.05421727708949578
35,EI,2.3028547668457033,2.3028547668457033,16,38,3,3,1,0.3,448,0.009641346751662545
36,EI,1.369300537109375,1.369300537109375,36,18,5,5,3,0.6,208,0.0003048861544671944
37,EI,2.3030757904052734,2.3030757904052734,41,43,3,3,4,0.5,388,0.02286323617405895
38,EI,2.732672119140625,2.732672119140625,21,23,5,5,2,0.2,148,0.0007229990099238026
39,EI,1.5189802551269531,1.5189802551269531,11,13,5,3,2,0.4,508,0.0001285694252826025
40,EI,1.5939007568359376,1.5939007568359376,31,33,3,5,3,0.7,268,0.004065722213518615
41,EI,1.3722727584838867,1.3722727584838867,34,40,5,3,3,0.7,358,0.00019798746843290347
42,EI,1.6877915573120117,1.6877915573120117,14,20,3,5,2,0.4,118,0.006260913484186629
43,EI,2.3114614868164063,2.3114614868164063,24,10,5,5,3,0.2,478,0.03520770385599631
44,EI,2.30124755859375,2.30124755859375,44,30,3,3,1,0.5,238,0.0011133653536964136
45,EI,2.3047522735595702,2.3047522735595702,39,15,3,3,2,0.6,418,0.014846965609822672
46,EI,1.5473627471923828,1.5473627471923828,19,35,5,5,4,0.3,178,0.00046950227669230433
47,EI,1.587925910949707,1.587925910949707,9,45,5,5,3,0.5,58,0.0026402053245503636
48,EI,2.3185821533203126,2.3185821533203126,29,25,3,3,2,0.2,298,0.08349062316083211
49,EI,1.4580710983276368,1.4580710983276368,28,46,3,3,3,0.3,103,0.0003783447418087231
50,EI,2.3016849517822267,2.3016849517822267,48,26,5,5,1,0.6,343,0.011964311248638984
51,EI,2.318669738769531,2.318669738769531,18,16,3,3,4,0.2,223,0.0672802664254944
52,EI,1.7641111755371093,1.7641111755371093,38,36,5,5,2,0.5,463,0.0021275888348751782
53,EI,1.5013587188720703,1.5013587188720703,43,11,5,3,3,0.4,163,0.005045308219482314
54,EI,1.633275909423828,1.633275909423828,23,31,3,5,2,0.1,403,0.00015954665471132825
55,EI,1.232827796936035,1.232827796936035,13,41,3,5,3,0.6,283,0.0008971967724005538
56,EI,2.2982852172851564,2.2982852172851564,33,21,5,3,1,0.3,43,0.028371853101374425
57,EI,2.700467758178711,2.700467758178711,30,14,3,5,1,0.2,133,0.0005826231039063824
58,EI,2.2997281646728513,2.2997281646728513,10,34,5,3,3,0.5,373,0.018424160257811115
59,EI,1.5006293487548827,1.5006293487548827,20,44,5,3,2,0.7,253,0.0032763304833722954
60,EI,1.4750123596191407,1.4750123596191407,40,24,3,5,4,0.4,493,0.00010360666694896877
61,EI,2.3197088623046875,2.3197088623046875,35,39,5,5,2,0.5,193,0.043690569184269744
62,EI,2.4011410522460936,2.4011410522460936,15,19,3,3,3,0.2,433,0.0013816171089145737
63,EI,1.4668470001220704,1.4668470001220704,45,9,3,3,4,0.6,313,0.000245690125734029
64,EI,2.300897216796875,2.300897216796875,25,29,5,5,2,0.3,73,0.007769403959326801
65,EI,1.4659399795532226,1.4659399795532226,25,13,3,3,4,0.3,392,0.0020158128186358484
66,EI,2.3220643615722656,2.3220643615722656,45,33,5,5,2,0.6,152,0.0637455984345319
67,EI,2.301820831298828,2.301820831298828,15,43,5,5,3,0.1,512,0.01133574851767376
68,EI,2.116781692504883,2.116781692504883,35,23,3,3,1,0.4,272,0.0003584678429872655
69,EI,2.3116961669921876,2.3116961669921876,40,38,5,3,3,0.5,332,0.02688129596880461
70,EI,3.178273162841797,3.178273162841797,20,18,3,5,1,0.2,92,0.0008500612171852521
71,EI,1.5826520919799805,1.5826520919799805,10,8,3,5,3,0.6,452,0.0001511646359793159
72,EI,2.826844024658203,2.826844024658203,30,28,5,3,2,0.3,212,0.004780245513648759
73,EI,2.3008499145507812,2.3008499145507812,33,46,3,5,2,0.3,422,0.0981635379488721
74,EI,1.3698227310180664,1.3698227310180664,13,26,5,3,3,0.6,182,0.003104203630988095
75,EI,2.30249153137207,2.30249153137207,23,16,5,5,1,0.2,62,0.01745621983510537
76,EI,1.4465457534790038,1.4465457534790038,43,36,3,3,3,0.5,302,0.0005520141401554191
77,EI,2.304411697387695,2.304411697387695,38,11,3,5,4,0.4,362,0.007361226867544604
78,EI,1.499607048034668,1.499607048034668,18,31,5,3,2,0.7,122,0.0002327824327466756
79,EI,1.9307310485839844,1.9307310485839844,48,41,3,3,2,0.5,482,0.0013090318171179887
80,EI,2.309222869873047,2.309222869873047,28,21,5,5,3,0.2,242,0.04139522071721831
81,EI,1.5788842010498048,1.5788842010498048,29,42,5,5,1,0.7,167,0.00028886851083499736
82,EI,1.654074058532715,1.654074058532715,9,22,3,3,3,0.4,407,0.009134824385396196
83,EI,2.3037688446044924,2.3037688446044924,19,12,3,3,2,0.2,287,0.05136889250264808
84,EI,1.4296581268310546,1.4296581268310546,39,32,5,5,4,0.5,47,0.0016244270118871513
85,EI,2.3024627685546877,2.3024627685546877,44,17,5,5,2,0.6,107,0.003852123502755724
86,EI,1.4821871185302735,1.4821871185302735,24,37,3,3,3,0.3,347,0.00012181484096973991
87,EI,3.0870629119873048,3.0870629119873048,14,47,5,3,1,0.4,227,0.0006850151909877517
88,EI,2.298655700683594,2.298655700683594,34,27,3,5,3,0.1,467,0.02166208235336541
89,EI,1.8812271118164063,1.8812271118164063,32,9,5,3,3,0.2,197,0.001054873063355748
90,EI,2.2864539337158205,2.2864539337158205,12,29,3,5,1,0.5,437,0.03335801522563262
91,EI,2.3031552124023436,2.3031552124023436,22,39,3,5,4,0.3,317,0.005931987163550744
92,EI,1.4692987823486328,1.4692987823486328,42,19,5,3,2,0.6,77,0.00018758590487702106
93,EI,2.323337631225586,2.323337631225586,37,44,3,5,3,0.6,137,0.07910432017912634
94,EI,2.8417276763916015,2.8417276763916015,17,24,5,3,2,0.3,377,0.002501498245252582
95,EI,1.6323738861083985,1.6323738861083985,47,14,5,5,2,0.4,257,0.0004448362823781162
96,EI,2.667367706298828,2.667367706298828,27,34,3,3,4,0.1,497,0.014066958381966699
97,EI,2.300907211303711,2.300907211303711,26,42,5,5,2,0.6,264,0.037159956982663354
98,EI,2.0926615142822267,2.0926615142822267,46,22,3,3,3,0.3,504,0.0011751010181909442
99,EI,1.5340678405761718,1.5340678405761718,16,12,3,3,4,0.5,144,0.000208965794536473
100,EI,2.3017149353027344,2.3017149353027344,36,32,5,5,2,0.2,384,0.0066080786380202415
101,EI,6.137517395019532,6.137517395019532,41,47,3,5,1,0.1,204,0.0027866036560342438
102,EI,2.3148762512207033,2.3148762512207033,21,27,5,3,3,0.4,444,0.08812014489220611
103,EI,1.896978759765625,1.896978759765625,11,37,3,5,2,0.3,84,0.015670223927145684
104,EI,1.3857785415649415,1.3857785415649415,31,17,5,3,3,0.6,324,0.000495535990546488
