iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,pooling_strategy,dropout_rate,fc_nodes,input_shape,lr
1,LCB,2.3093484115600584,-2.3093484115600584,256,32,5,5,3,max,0.3,256,"(3, 32, 32)",0.01
2,LCB,2.144120063781738,-2.144120063781738,32,128,5,3,4,mac,0.4,128,"(3, 32, 32)",0.01
3,LCB,2.3160183525085447,-2.3160183525085447,64,32,5,3,2,mac,0.3,1024,"(3, 32, 32)",0.1
4,LCB,2.308792943954468,-2.308792943954468,128,64,3,5,3,max,0.2,128,"(3, 32, 32)",0.01
5,LCB,2.290197229385376,-2.290197229385376,128,256,3,3,2,mac,0.3,128,"(3, 32, 32)",0.0001
6,LCB,2.175306167602539,-2.175306167602539,256,128,3,5,2,max,0.2,1024,"(3, 32, 32)",0.01
7,LCB,2.3149684619903566,-2.3149684619903566,32,128,5,5,4,mac,0.4,256,"(3, 32, 32)",0.01
8,LCB,2.3234800910949707,-2.3234800910949707,256,256,5,3,4,mac,0.4,128,"(3, 32, 32)",0.01
9,LCB,2.1120976066589354,-2.1120976066589354,32,128,3,3,4,mac,0.2,128,"(3, 32, 32)",0.01
10,LCB,2.160617961883545,-2.160617961883545,32,128,3,3,4,mac,0.5,128,"(3, 32, 32)",0.01
11,LCB,2.49430474281311,-2.49430474281311,64,128,3,3,4,max,0.2,128,"(3, 32, 32)",0.01
12,LCB,2.055249013900757,-2.055249013900757,32,128,5,3,4,mac,0.2,128,"(3, 32, 32)",0.001
13,LCB,2.3098494815826416,-2.3098494815826416,128,128,3,5,2,max,0.5,1024,"(3, 32, 32)",0.1
14,LCB,2.0676964569091796,-2.0676964569091796,128,128,3,3,4,mac,0.4,128,"(3, 32, 32)",0.001
15,LCB,2.081204204559326,-2.081204204559326,64,128,3,3,4,mac,0.2,128,"(3, 32, 32)",0.01
16,LCB,2.015755572319031,-2.015755572319031,128,64,5,5,4,mac,0.2,128,"(3, 32, 32)",0.001
17,LCB,2.0769642066955565,-2.0769642066955565,64,64,3,5,4,mac,0.5,512,"(3, 32, 32)",0.001
18,LCB,2.015714569091797,-2.015714569091797,64,64,5,5,3,mac,0.2,128,"(3, 32, 32)",0.001
19,LCB,2.2793101692199706,-2.2793101692199706,64,64,5,5,2,mac,0.2,1024,"(3, 32, 32)",0.0001
20,LCB,2.028935194015503,-2.028935194015503,64,64,5,5,2,mac,0.2,512,"(3, 32, 32)",0.001
21,LCB,1.860091233253479,-1.860091233253479,128,256,5,5,4,mac,0.2,1024,"(3, 32, 32)",0.001
22,LCB,2.3123356533050536,-2.3123356533050536,32,256,5,3,2,mac,0.2,1024,"(3, 32, 32)",0.1
23,LCB,1.8762457275390625,-1.8762457275390625,64,128,3,5,3,mac,0.2,1024,"(3, 32, 32)",0.001
24,LCB,2.0049460697174073,-2.0049460697174073,128,64,3,3,3,mac,0.2,1024,"(3, 32, 32)",0.001
25,LCB,1.9621194553375245,-1.9621194553375245,32,128,3,5,2,mac,0.2,1024,"(3, 32, 32)",0.001
26,LCB,1.9961482095718384,-1.9961482095718384,128,128,5,3,4,mac,0.2,256,"(3, 32, 32)",0.001
27,LCB,1.8706074047088623,-1.8706074047088623,256,256,5,5,3,mac,0.4,1024,"(3, 32, 32)",0.001
28,LCB,1.9874784088134765,-1.9874784088134765,128,128,5,5,2,max,0.5,1024,"(3, 32, 32)",0.001
29,LCB,1.7914676284790039,-1.7914676284790039,256,64,3,3,3,max,0.4,128,"(3, 32, 32)",0.001
30,LCB,2.136372237205505,-2.136372237205505,256,32,5,3,3,max,0.2,1024,"(3, 32, 32)",0.001
